source,section,title,location,path
S02,20,기타 성장 핵,페이지-331,/Users/seranlee/B2B강의대본/자료통합/_원문/설계자/트래픽 설계자.md
S03,1,카피라이팅이란 무엇인가?,pdf-0013,/Users/seranlee/B2B강의대본/자료통합/_원문/설계자/스토리설계자.md
S03,2,삶을 바꾸는 세일즈 카피,pdf-0020,/Users/seranlee/B2B강의대본/자료통합/_원문/설계자/스토리설계자.md
S03,3,강력한 구매 이유 10가지,pdf-0024,/Users/seranlee/B2B강의대본/자료통합/_원문/설계자/스토리설계자.md
S03,4,고객은 당신에게 관심이 없다,pdf-0032,/Users/seranlee/B2B강의대본/자료통합/_원문/설계자/스토리설계자.md
S03,5,카피라이팅 마인드셋,pdf-0036,/Users/seranlee/B2B강의대본/자료통합/_원문/설계자/스토리설계자.md
S03,6,헤드라인 템플릿,pdf-0047,/Users/seranlee/B2B강의대본/자료통합/_원문/설계자/스토리설계자.md
S03,7,핫/웜/콜드 트래픽 소스,pdf-0060,/Users/seranlee/B2B강의대본/자료통합/_원문/설계자/스토리설계자.md
S03,8,프레드 F.R.E.D.,pdf-0069,/Users/seranlee/B2B강의대본/자료통합/_원문/설계자/스토리설계자.md
S03,9,불릿 공식,pdf-0089,/Users/seranlee/B2B강의대본/자료통합/_원문/설계자/스토리설계자.md
S03,10,지갑을 여는 진짜 이유,pdf-0097,/Users/seranlee/B2B강의대본/자료통합/_원문/설계자/스토리설계자.md
S03,11,A/B 분할 테스트,pdf-0104,/Users/seranlee/B2B강의대본/자료통합/_원문/설계자/스토리설계자.md
S03,12,시장조사,pdf-0110,/Users/seranlee/B2B강의대본/자료통합/_원문/설계자/스토리설계자.md
S03,13,고객 중심의 대화,pdf-0117,/Users/seranlee/B2B강의대본/자료통합/_원문/설계자/스토리설계자.md
S03,14,추천사가 없을 때 유용한 전략,pdf-0123,/Users/seranlee/B2B강의대본/자료통합/_원문/설계자/스토리설계자.md
